iter	Passed	Remaining
647	28049	15236
648	28082	15188
649	28116	15139
650	28146	15089
651	28177	15039
652	28213	14992
653	28250	14946
654	28285	14898
655	28318	14850
656	28351	14801
657	28384	14753
658	28425	14708
659	28460	14661
660	28495	14614
661	28531	14567
662	28564	14518
663	28597	14471
664	28631	14423
665	28665	14375
666	28703	14329
667	28738	14283
668	28769	14234
669	28802	14186
670	28834	14138
671	28866	14089
672	28897	14041
673	28935	13995
674	28967	13947
675	28998	13898
676	29031	13851
677	29068	13805
678	29097	13756
679	29129	13707
680	29163	13660
681	29197	13614
682	29234	13568
683	29266	13520
684	29296	13472
685	29328	13424
686	29359	13376
687	29393	13329
688	29429	13283
689	29468	13239
690	29500	13191
691	29533	13144
692	29566	13097
693	29600	13051
694	29636	13005
695	29670	12959
696	29704	12913
697	29735	12865
698	29768	12818
699	29801	12771
700	29836	12726
701	29869	12679
702	29903	12633
703	29940	12588
704	29974	12542
705	30006	12495
706	30041	12449
707	30074	12403
708	30106	12356
709	30136	12309
710	30173	12264
711	30206	12218
712	30243	12173
713	30279	12128
714	30311	12082
715	30347	12037
716	30380	11991
717	30410	11944
718	30447	11899
719	30480	11853
720	30514	11808
721	30546	11761
722	30580	11716
723	30612	11669
724	30652	11626
725	30686	11581
726	30720	11536
727	30756	11491
728	30790	11446
729	30821	11399
730	30854	11354
731	30887	11308
732	30923	11264
733	30957	11218
734	30991	11173
735	31025	11128
736	31055	11082
737	31089	11037
738	31124	10992
739	31165	10950
740	31199	10905
741	31233	10860
742	31265	10814
743	31297	10769
744	31331	10724
745	31363	10678
746	31395	10633
747	31431	10589
748	31465	10544
749	31506	10502
750	31538	10456
751	31568	10410
752	31600	10365
753	31634	10321
754	31672	10277
755	31704	10232
756	31735	10187
757	31769	10142
758	31803	10098
759	31833	10052
760	31866	10008
761	31908	9966
762	31944	9922
763	31976	9877
764	32011	9833
765	32045	9789
766	32078	9744
767	32111	9700
768	32147	9656
769	32180	9612
770	32214	9568
771	32246	9523
772	32280	9479
773	32317	9436
774	32345	9390
775	32383	9347
776	32414	9303
777	32448	9259
778	32481	9214
779	32512	9170
780	32544	9125
781	32575	9081
782	32610	9037
783	32647	8994
784	32682	8951
785	32716	8907
786	32751	8864
787	32784	8820
788	32817	8776
789	32852	8732
790	32885	8689
791	32920	8645
792	32955	8602
793	32988	8558
794	33021	8514
795	33052	8470
796	33089	8428
797	33120	8383
798	33156	8341
799	33189	8297
800	33219	8253
801	33251	8209
802	33283	8165
803	33322	8123
804	33355	8080
805	33389	8036
806	33423	7993
807	33456	7950
808	33490	7906
809	33525	7863
810	33562	7821
811	33602	7779
812	33638	7737
813	33670	7693
814	33706	7651
815	33749	7610
816	33779	7566
817	33811	7522
818	33843	7479
819	33879	7437
820	33911	7393
821	33946	7351
822	33981	7308
823	34017	7265
824	34049	7222
825	34082	7179
826	34117	7137
827	34152	7094
828	34187	7052
829	34221	7009
830	34255	6966
831	34288	6923
832	34322	6881
833	34355	6838
834	34389	6795
835	34425	6753
836	34463	6711
837	34498	6669
838	34532	6626
839	34566	6584
840	34600	6541
841	34636	6499
842	34669	6456
843	34705	6414
844	34738	6372
845	34768	6329
846	34800	6286
847	34836	6244
848	34867	6201
849	34900	6158
850	34938	6117
851	34971	6074
852	35006	6032
853	35038	5990
854	35070	5947
855	35100	5904
856	35136	5862
857	35175	5821
858	35212	5779
859	35247	5738
860	35279	5695
861	35312	5653
862	35350	5611
863	35387	5570
864	35421	5528
865	35457	5486
866	35490	5444
867	35522	5401
868	35551	5359
869	35585	5317
870	35626	5276
871	35658	5234
872	35692	5192
873	35724	5150
874	35757	5108
875	35792	5066
876	35820	5023
877	35853	4981
878	35888	4940
879	35922	4898
880	35953	4856
881	35985	4814
882	36023	4773
883	36058	4731
884	36092	4689
885	36126	4648
886	36160	4606
887	36192	4564
888	36235	4524
889	36278	4483
890	36320	4443
891	36348	4400
892	36382	4359
893	36418	4318
894	36454	4276
895	36495	4236
896	36619	4204
897	36690	4167
898	36768	4130
899	36803	4089
900	36833	4047
